"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI_B - Flooding During Growing Season < 90 FFD (Wheat)","null_or","0","18022","22246","18022","ArbitraryCurve","FLOODING SEVERITY FFD <= 90 (WHEAT)","15121"
"NCCPI_B - Flooding During Growing Season 90-105 FFD (Wheat)","null_or","0","18023","22246","18023","ArbitraryCurve","FLOODING SEVERITY FFD >90 - <=105 (WHEAT)","15122"
"NCCPI_B - Flooding During Growing Season 105-120 FFD (Wheat)","null_or","0","18024","22246","18024","ArbitraryCurve","FLOODING SEVERITY FFD >105 - <=120 (WHEAT)","15123"
"NCCPI_B - Flooding During Growing Season >120 FFD (Wheat)","null_or","0","18025","22246","18025","ArbitraryCurve","FLOODING SEVERITY FFD > 120 (WHEAT)","15124"
"NCCPI_B - Not Xeric (Wheat)","subtract","0.85","18577","24082","18577","Crisp","XERIC CLIMATE","15376"
"NCCPI_B - pH 0-20cm, map_r <700 (Cotton)","not_null_and","0","19566","25922","19566","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE, 0-700MM MAP","16481"
"NCCPI_B - pH 0-20cm, map_r 700-1000 (Cotton)","not_null_and","0","19567","25922","19567","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE, 700-1000MM MAP","16482"
"NCCPI_B - pH 0-20cm, map_r 1000-1500 (Cotton)","not_null_and","0","19568","25922","19568","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE, 1000-1500MM MAP","16483"
"NCCPI_B - pH 0-20cm, map_r >1500 (Cotton)","not_null_and","0","19569","25922","19569","ArbitraryCurve","pH IN DEPTH 0-20CM, WTD AVE, >1500MM MAP","16484"
"NCCPI_B - pH 20-150cm, map_r <700 (Cotton)","null_or","0","19570","25923","19570","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVERAGE, 0-700MM MAP","27310"
"NCCPI_B - pH 20-150cm, map_r 700-1000 (Cotton)","null_or","0","19571","25923","19571","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVERAGE, 700-1000MM MAP","27311"
"NCCPI_B - pH 20-150cm, map_r 1000-1500 (Cotton)","null_or","0","19572","25923","19572","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVERAGE, 1000-1500MM MAP","27312"
"NCCPI_B - pH 20-150cm, map_r >1500 (Cotton)","null_or","0","19573","25923","19573","ArbitraryCurve","pH IN DEPTH 20-150CM, WTD AVERAGE, >1500MM MAP","27313"
"NCCPI_B - CEC 0-150cm or Restriction, MAP<700 (Cotton)","not_null_and","0","19604","25950","19604","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION AND MAP <700","16514"
"NCCPI_B - CEC 0-150cm or Restriction, MAP 700-1000 (Cotton)","not_null_and","0","19605","25950","19605","ArbitraryCurve","MEQ 0-150cm OR RESTRICTION AND MAP 700-1000","16515"
