"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19572117,460348,14100,"ca620_rock outcrop_0_3_sierra sandy loam, deep, 9 to 15 percent slopes, lru 18xi_2z5kw_0",2719455,14100,2746131,859750,3,"CA62"
19572118,460348,14100,"ca620_sierra_1_80_sierra sandy loam, deep, 9 to 15 percent slopes, lru 18xi_2z5kw_0",2719451,14100,2746131,859750,80,"CA62"
19572119,460348,14100,"ca620_andregg_0_10_sierra sandy loam, deep, 9 to 15 percent slopes, lru 18xi_2z5kw_coarse sandy loam",2719454,14100,2746131,859750,10,"CA62"
19572120,460348,14100,"ca620_shenandoah_0_2_sierra sandy loam, deep, 9 to 15 percent slopes, lru 18xi_2z5kw_0",2719453,14100,2746131,859750,2,"CA62"
19572121,460348,14100,"ca620_flanly_0_5_sierra sandy loam, deep, 9 to 15 percent slopes, lru 18xi_2z5kw_0",2719452,14100,2746131,859750,5,"CA62"
19572209,460347,14100,"ca620_andregg_0_10_sierra sandy loam, deep, 2 to 9 percent slopes, lru 18xi_2z5l1_coarse sandy loam",2719427,14100,2746136,859741,10,"CA62"
19572210,460347,14100,"ca620_rock outcrop_0_5_sierra sandy loam, deep, 2 to 9 percent slopes, lru 18xi_2z5l1_0",2719430,14100,2746136,859741,5,"CA62"
19572211,460347,14100,"ca620_flanly_0_5_sierra sandy loam, deep, 2 to 9 percent slopes, lru 18xi_2z5l1_0",2719426,14100,2746136,859741,5,"CA62"
19572212,460347,14100,"ca620_sierra_1_80_sierra sandy loam, deep, 2 to 9 percent slopes, lru 18xi_2z5l1_0",2719428,14100,2746136,859741,80,"CA62"
19572507,460349,14100,"ca620_rock outcrop_0_5_sierra sandy loam, deep, 15 to 30 percent slopes, lru 18xi_2z5l6_0",2719458,14100,2746141,859751,5,"CA62"
19572508,460349,14100,"ca620_caperton_0_5_sierra sandy loam, deep, 15 to 30 percent slopes, lru 18xi_2z5l6_coarse sandy loam",2719456,14100,2746141,859751,5,"CA62"
19572509,460349,14100,"ca620_sierra_1_80_sierra sandy loam, deep, 15 to 30 percent slopes, lru 18xi_2z5l6_0",2719460,14100,2746141,859751,80,"CA62"
19572510,460349,14100,"ca620_flanly_0_5_sierra sandy loam, deep, 15 to 30 percent slopes, lru 18xi_2z5l6_0",2719459,14100,2746141,859751,5,"CA62"
19572511,460349,14100,"ca620_andregg_0_5_sierra sandy loam, deep, 15 to 30 percent slopes, lru 18xi_2z5l6_coarse sandy loam",2719457,14100,2746141,859751,5,"CA62"
19572239,1420721,14100,"ca620_pardee_1_45_pardee-ranchoseco complex, 3 to 15 percent slopes_hhp0_0",633372,14100,461931,291270,45,"CA62"
19572240,1420721,14100,"ca620_gillender_0_3_pardee-ranchoseco complex, 3 to 15 percent slopes_hhp0_0",633375,14100,461931,291270,3,"CA62"
